SSID,BSSID,PHY,CHANNEL,FREQUENCY,RSSI(dBm),SNR(dB)
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-72,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-72,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-72,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-76,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-72,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-76,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-76,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-72,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-72,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-72,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-72,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-76,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-72,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-76,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-72,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-72,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-72,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-72,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-72,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-72,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-72,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-72,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-72,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-68,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-72,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-72,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-56,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-72,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-72,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-56,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-56,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-56,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-72,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-72,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-56,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-68,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-56,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-56,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-68,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-56,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-92,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-72,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-56,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-72,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-76,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-76,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-72,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-56,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-76,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-76,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-76,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-76,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-56,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-56,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-76,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-56,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-76,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-76,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-56,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-56,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-80,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-56,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-80,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-80,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-56,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-60,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
TUC,6c:14:6e:03:11:c0,802.11b,6,2437,-72,
GUEST,6c:14:6e:03:11:c1,802.11b,6,2437,-60,
eduroam,6c:14:6e:03:11:c2,802.11b,6,2437,-60,
